die,block,x,y,block_row,block_column,in_block_row,in_block_column,block_idx_in_die,design,material,structure
1,13,-11460.0,40620.0,2,8,6,1,8,AGCL_whole_wafer,Pt_Ag_Cl,LW300
1,13,-10500.0,40620.0,2,8,6,2,8,AGCL_whole_wafer,Pt_Ag_Cl,LW600
1,13,-9540.0,40620.0,2,8,6,3,8,AGCL_whole_wafer,Pt_Ag_Cl,GC20_SC300
1,14,-7620.0,43020.0,2,9,1,1,9,AGCL_whole_wafer,Pt,LW300
1,14,-6660.0,43020.0,2,9,1,2,9,AGCL_whole_wafer,Pt,LW600
1,14,-5700.0,43020.0,2,9,1,3,9,AGCL_whole_wafer,Pt,GC20_SC300
1,14,-7620.0,42540.0,2,9,2,1,9,AGCL_whole_wafer,Pt_Cl,LW300
1,14,-6660.0,42540.0,2,9,2,2,9,AGCL_whole_wafer,Pt_Cl,LW600
1,14,-5700.0,42540.0,2,9,2,3,9,AGCL_whole_wafer,Pt_Cl,GC20_SC300
1,14,-7620.0,42060.0,2,9,3,1,9,AGCL_whole_wafer,Ag,LW300
1,14,-6660.0,42060.0,2,9,3,2,9,AGCL_whole_wafer,Ag,LW600
1,14,-5700.0,42060.0,2,9,3,3,9,AGCL_whole_wafer,Ag,GC20_SC300
1,14,-7620.0,41580.0,2,9,4,1,9,AGCL_whole_wafer,Ag_Cl,LW300
1,14,-6660.0,41580.0,2,9,4,2,9,AGCL_whole_wafer,Ag_Cl,LW600
1,14,-5700.0,41580.0,2,9,4,3,9,AGCL_whole_wafer,Ag_Cl,GC20_SC300
1,14,-7620.0,41100.0,2,9,5,1,9,AGCL_whole_wafer,Pt_Ag,LW300
1,14,-6660.0,41100.0,2,9,5,2,9,AGCL_whole_wafer,Pt_Ag,LW600
1,14,-5700.0,41100.0,2,9,5,3,9,AGCL_whole_wafer,Pt_Ag,GC20_SC300
1,14,-7620.0,40620.0,2,9,6,1,9,AGCL_whole_wafer,Pt_Ag_Cl,LW300
1,14,-6660.0,40620.0,2,9,6,2,9,AGCL_whole_wafer,Pt_Ag_Cl,LW600
1,14,-5700.0,40620.0,2,9,6,3,9,AGCL_whole_wafer,Pt_Ag_Cl,GC20_SC300
1,15,-3780.0,43020.0,2,10,1,1,10,AGCL_whole_wafer,Pt,LW300
1,15,-2820.0,43020.0,2,10,1,2,10,AGCL_whole_wafer,Pt,LW600
1,15,-1860.0,43020.0,2,10,1,3,10,AGCL_whole_wafer,Pt,GC20_SC300
1,15,-3780.0,42540.0,2,10,2,1,10,AGCL_whole_wafer,Pt_Cl,LW300
1,15,-2820.0,42540.0,2,10,2,2,10,AGCL_whole_wafer,Pt_Cl,LW600
1,15,-1860.0,42540.0,2,10,2,3,10,AGCL_whole_wafer,Pt_Cl,GC20_SC300
1,15,-3780.0,42060.0,2,10,3,1,10,AGCL_whole_wafer,Ag,LW300
1,15,-2820.0,42060.0,2,10,3,2,10,AGCL_whole_wafer,Ag,LW600
1,15,-1860.0,42060.0,2,10,3,3,10,AGCL_whole_wafer,Ag,GC20_SC300
1,15,-3780.0,41580.0,2,10,4,1,10,AGCL_whole_wafer,Ag_Cl,LW300
1,15,-2820.0,41580.0,2,10,4,2,10,AGCL_whole_wafer,Ag_Cl,LW600
1,15,-1860.0,41580.0,2,10,4,3,10,AGCL_whole_wafer,Ag_Cl,GC20_SC300
1,15,-3780.0,41100.0,2,10,5,1,10,AGCL_whole_wafer,Pt_Ag,LW300
1,15,-2820.0,41100.0,2,10,5,2,10,AGCL_whole_wafer,Pt_Ag,LW600
1,15,-1860.0,41100.0,2,10,5,3,10,AGCL_whole_wafer,Pt_Ag,GC20_SC300
1,15,-3780.0,40620.0,2,10,6,1,10,AGCL_whole_wafer,Pt_Ag_Cl,LW300
1,15,-2820.0,40620.0,2,10,6,2,10,AGCL_whole_wafer,Pt_Ag_Cl,LW600
1,15,-1860.0,40620.0,2,10,6,3,10,AGCL_whole_wafer,Pt_Ag_Cl,GC20_SC300
1,21,-19140.0,39660.0,3,6,1,1,11,AGCL_whole_wafer,Pt,LW300
1,21,-18180.0,39660.0,3,6,1,2,11,AGCL_whole_wafer,Pt,LW600
1,21,-17220.0,39660.0,3,6,1,3,11,AGCL_whole_wafer,Pt,GC20_SC300
1,21,-19140.0,39180.0,3,6,2,1,11,AGCL_whole_wafer,Pt_Cl,LW300
1,21,-18180.0,39180.0,3,6,2,2,11,AGCL_whole_wafer,Pt_Cl,LW600
1,21,-17220.0,39180.0,3,6,2,3,11,AGCL_whole_wafer,Pt_Cl,GC20_SC300
1,21,-19140.0,38700.0,3,6,3,1,11,AGCL_whole_wafer,Ag,LW300
1,21,-18180.0,38700.0,3,6,3,2,11,AGCL_whole_wafer,Ag,LW600
1,21,-17220.0,38700.0,3,6,3,3,11,AGCL_whole_wafer,Ag,GC20_SC300
1,21,-19140.0,38220.0,3,6,4,1,11,AGCL_whole_wafer,Ag_Cl,LW300
1,21,-18180.0,38220.0,3,6,4,2,11,AGCL_whole_wafer,Ag_Cl,LW600
1,21,-17220.0,38220.0,3,6,4,3,11,AGCL_whole_wafer,Ag_Cl,GC20_SC300
1,21,-19140.0,37740.0,3,6,5,1,11,AGCL_whole_wafer,Pt_Ag,LW300
1,21,-18180.0,37740.0,3,6,5,2,11,AGCL_whole_wafer,Pt_Ag,LW600
1,21,-17220.0,37740.0,3,6,5,3,11,AGCL_whole_wafer,Pt_Ag,GC20_SC300
1,21,-19140.0,37260.0,3,6,6,1,11,AGCL_whole_wafer,Pt_Ag_Cl,LW300
1,21,-18180.0,37260.0,3,6,6,2,11,AGCL_whole_wafer,Pt_Ag_Cl,LW600
1,21,-17220.0,37260.0,3,6,6,3,11,AGCL_whole_wafer,Pt_Ag_Cl,GC20_SC300
1,22,-15300.0,39660.0,3,7,1,1,12,AGCL_whole_wafer,Pt,LW300
1,22,-14340.0,39660.0,3,7,1,2,12,AGCL_whole_wafer,Pt,LW600
1,22,-13380.0,39660.0,3,7,1,3,12,AGCL_whole_wafer,Pt,GC20_SC300
1,22,-15300.0,39180.0,3,7,2,1,12,AGCL_whole_wafer,Pt_Cl,LW300
1,22,-14340.0,39180.0,3,7,2,2,12,AGCL_whole_wafer,Pt_Cl,LW600
1,22,-13380.0,39180.0,3,7,2,3,12,AGCL_whole_wafer,Pt_Cl,GC20_SC300
1,22,-15300.0,38700.0,3,7,3,1,12,AGCL_whole_wafer,Ag,LW300
1,22,-14340.0,38700.0,3,7,3,2,12,AGCL_whole_wafer,Ag,LW600
1,22,-13380.0,38700.0,3,7,3,3,12,AGCL_whole_wafer,Ag,GC20_SC300
1,22,-15300.0,38220.0,3,7,4,1,12,AGCL_whole_wafer,Ag_Cl,LW300
1,22,-14340.0,38220.0,3,7,4,2,12,AGCL_whole_wafer,Ag_Cl,LW600
1,22,-13380.0,38220.0,3,7,4,3,12,AGCL_whole_wafer,Ag_Cl,GC20_SC300
1,22,-15300.0,37740.0,3,7,5,1,12,AGCL_whole_wafer,Pt_Ag,LW300
1,22,-14340.0,37740.0,3,7,5,2,12,AGCL_whole_wafer,Pt_Ag,LW600
1,22,-13380.0,37740.0,3,7,5,3,12,AGCL_whole_wafer,Pt_Ag,GC20_SC300
1,22,-15300.0,37260.0,3,7,6,1,12,AGCL_whole_wafer,Pt_Ag_Cl,LW300
1,22,-14340.0,37260.0,3,7,6,2,12,AGCL_whole_wafer,Pt_Ag_Cl,LW600
1,22,-13380.0,37260.0,3,7,6,3,12,AGCL_whole_wafer,Pt_Ag_Cl,GC20_SC300
1,23,-11460.0,39660.0,3,8,1,1,13,AGCL_whole_wafer,Pt,LW300
1,23,-10500.0,39660.0,3,8,1,2,13,AGCL_whole_wafer,Pt,LW600
1,23,-9540.0,39660.0,3,8,1,3,13,AGCL_whole_wafer,Pt,GC20_SC300
1,23,-11460.0,39180.0,3,8,2,1,13,AGCL_whole_wafer,Pt_Cl,LW300
1,23,-10500.0,39180.0,3,8,2,2,13,AGCL_whole_wafer,Pt_Cl,LW600
1,23,-9540.0,39180.0,3,8,2,3,13,AGCL_whole_wafer,Pt_Cl,GC20_SC300
1,23,-11460.0,38700.0,3,8,3,1,13,AGCL_whole_wafer,Ag,LW300
1,23,-10500.0,38700.0,3,8,3,2,13,AGCL_whole_wafer,Ag,LW600
1,23,-9540.0,38700.0,3,8,3,3,13,AGCL_whole_wafer,Ag,GC20_SC300
1,23,-11460.0,38220.0,3,8,4,1,13,AGCL_whole_wafer,Ag_Cl,LW300
1,23,-10500.0,38220.0,3,8,4,2,13,AGCL_whole_wafer,Ag_Cl,LW600
1,23,-9540.0,38220.0,3,8,4,3,13,AGCL_whole_wafer,Ag_Cl,GC20_SC300
1,23,-11460.0,37740.0,3,8,5,1,13,AGCL_whole_wafer,Pt_Ag,LW300
1,23,-10500.0,37740.0,3,8,5,2,13,AGCL_whole_wafer,Pt_Ag,LW600
1,23,-9540.0,37740.0,3,8,5,3,13,AGCL_whole_wafer,Pt_Ag,GC20_SC300
1,23,-11460.0,37260.0,3,8,6,1,13,AGCL_whole_wafer,Pt_Ag_Cl,LW300
1,23,-10500.0,37260.0,3,8,6,2,13,AGCL_whole_wafer,Pt_Ag_Cl,LW600
1,23,-9540.0,37260.0,3,8,6,3,13,AGCL_whole_wafer,Pt_Ag_Cl,GC20_SC300
1,24,-7620.0,39660.0,3,9,1,1,14,AGCL_whole_wafer,Pt,LW300
1,24,-6660.0,39660.0,3,9,1,2,14,AGCL_whole_wafer,Pt,LW600
1,24,-5700.0,39660.0,3,9,1,3,14,AGCL_whole_wafer,Pt,GC20_SC300
1,24,-7620.0,39180.0,3,9,2,1,14,AGCL_whole_wafer,Pt_Cl,LW300
1,24,-6660.0,39180.0,3,9,2,2,14,AGCL_whole_wafer,Pt_Cl,LW600
1,24,-5700.0,39180.0,3,9,2,3,14,AGCL_whole_wafer,Pt_Cl,GC20_SC300
1,24,-7620.0,38700.0,3,9,3,1,14,AGCL_whole_wafer,Ag,LW300
1,24,-6660.0,38700.0,3,9,3,2,14,AGCL_whole_wafer,Ag,LW600
1,24,-5700.0,38700.0,3,9,3,3,14,AGCL_whole_wafer,Ag,GC20_SC300
1,24,-7620.0,38220.0,3,9,4,1,14,AGCL_whole_wafer,Ag_Cl,LW300
1,24,-6660.0,38220.0,3,9,4,2,14,AGCL_whole_wafer,Ag_Cl,LW600
1,24,-5700.0,38220.0,3,9,4,3,14,AGCL_whole_wafer,Ag_Cl,GC20_SC300
1,24,-7620.0,37740.0,3,9,5,1,14,AGCL_whole_wafer,Pt_Ag,LW300
1,24,-6660.0,37740.0,3,9,5,2,14,AGCL_whole_wafer,Pt_Ag,LW600
1,24,-5700.0,37740.0,3,9,5,3,14,AGCL_whole_wafer,Pt_Ag,GC20_SC300
1,24,-7620.0,37260.0,3,9,6,1,14,AGCL_whole_wafer,Pt_Ag_Cl,LW300
1,24,-6660.0,37260.0,3,9,6,2,14,AGCL_whole_wafer,Pt_Ag_Cl,LW600
1,24,-5700.0,37260.0,3,9,6,3,14,AGCL_whole_wafer,Pt_Ag_Cl,GC20_SC300
1,25,-3780.0,39660.0,3,10,1,1,15,AGCL_whole_wafer,Pt,LW300
1,25,-2820.0,39660.0,3,10,1,2,15,AGCL_whole_wafer,Pt,LW600
1,25,-1860.0,39660.0,3,10,1,3,15,AGCL_whole_wafer,Pt,GC20_SC300
1,25,-3780.0,39180.0,3,10,2,1,15,AGCL_whole_wafer,Pt_Cl,LW300
1,25,-2820.0,39180.0,3,10,2,2,15,AGCL_whole_wafer,Pt_Cl,LW600
1,25,-1860.0,39180.0,3,10,2,3,15,AGCL_whole_wafer,Pt_Cl,GC20_SC300
1,25,-3780.0,38700.0,3,10,3,1,15,AGCL_whole_wafer,Ag,LW300
1,25,-2820.0,38700.0,3,10,3,2,15,AGCL_whole_wafer,Ag,LW600
1,25,-1860.0,38700.0,3,10,3,3,15,AGCL_whole_wafer,Ag,GC20_SC300
1,25,-3780.0,38220.0,3,10,4,1,15,AGCL_whole_wafer,Ag_Cl,LW300
1,25,-2820.0,38220.0,3,10,4,2,15,AGCL_whole_wafer,Ag_Cl,LW600
1,25,-1860.0,38220.0,3,10,4,3,15,AGCL_whole_wafer,Ag_Cl,GC20_SC300
1,25,-3780.0,37740.0,3,10,5,1,15,AGCL_whole_wafer,Pt_Ag,LW300
1,25,-2820.0,37740.0,3,10,5,2,15,AGCL_whole_wafer,Pt_Ag,LW600
1,25,-1860.0,37740.0,3,10,5,3,15,AGCL_whole_wafer,Pt_Ag,GC20_SC300
1,25,-3780.0,37260.0,3,10,6,1,15,AGCL_whole_wafer,Pt_Ag_Cl,LW300
1,25,-2820.0,37260.0,3,10,6,2,15,AGCL_whole_wafer,Pt_Ag_Cl,LW600
1,25,-1860.0,37260.0,3,10,6,3,15,AGCL_whole_wafer,Pt_Ag_Cl,GC20_SC300
1,31,-19140.0,36300.0,4,6,1,1,16,AGCL_whole_wafer,Pt,LW300
1,31,-18180.0,36300.0,4,6,1,2,16,AGCL_whole_wafer,Pt,LW600
1,31,-17220.0,36300.0,4,6,1,3,16,AGCL_whole_wafer,Pt,GC20_SC300
1,31,-19140.0,35820.0,4,6,2,1,16,AGCL_whole_wafer,Pt_Cl,LW300
1,31,-18180.0,35820.0,4,6,2,2,16,AGCL_whole_wafer,Pt_Cl,LW600
1,31,-17220.0,35820.0,4,6,2,3,16,AGCL_whole_wafer,Pt_Cl,GC20_SC300
1,31,-19140.0,35340.0,4,6,3,1,16,AGCL_whole_wafer,Ag,LW300
1,31,-18180.0,35340.0,4,6,3,2,16,AGCL_whole_wafer,Ag,LW600
1,31,-17220.0,35340.0,4,6,3,3,16,AGCL_whole_wafer,Ag,GC20_SC300
