die,block,x,y,block_row,block_column,in_block_row,in_block_column,block_idx_in_die,material,structure,design
1,111,-13212.5,19420.0,9,8,1,1,111,unknown,cross_bridge,crossbridge2019
1,112,-9085.0,19420.0,9,9,1,1,112,unknown,cross_bridge,crossbridge2019
1,113,-4957.5,19420.0,9,10,1,1,113,unknown,cross_bridge,crossbridge2019
1,114,-830.0,19420.0,9,11,1,1,114,unknown,cross_bridge,crossbridge2019
1,115,3297.5,19420.0,9,12,1,1,115,unknown,cross_bridge,crossbridge2019
1,116,7425.0,19420.0,9,13,1,1,116,unknown,cross_bridge,crossbridge2019
1,117,11552.5,19420.0,9,14,1,1,117,unknown,cross_bridge,crossbridge2019
1,118,15680.0,19420.0,9,15,1,1,118,unknown,cross_bridge,crossbridge2019
1,119,19807.5,19420.0,9,16,1,1,119,unknown,cross_bridge,crossbridge2019
1,120,23935.0,19420.0,9,17,1,1,120,unknown,cross_bridge,crossbridge2019
1,121,28062.5,19420.0,9,18,1,1,121,unknown,cross_bridge,crossbridge2019
1,122,32190.0,19420.0,9,19,1,1,122,unknown,cross_bridge,crossbridge2019
1,123,36317.5,19420.0,9,20,1,1,123,unknown,cross_bridge,crossbridge2019
1,124,-42105.0,16270.0,10,1,1,1,124,unknown,cross_bridge,crossbridge2019
1,125,-37977.5,16270.0,10,2,1,1,125,unknown,cross_bridge,crossbridge2019
1,126,-33850.0,16270.0,10,3,1,1,126,unknown,cross_bridge,crossbridge2019
1,127,-29722.5,16270.0,10,4,1,1,127,unknown,cross_bridge,crossbridge2019
1,128,-25595.0,16270.0,10,5,1,1,128,unknown,cross_bridge,crossbridge2019
1,129,-21467.5,16270.0,10,6,1,1,129,unknown,cross_bridge,crossbridge2019
1,130,-17340.0,16270.0,10,7,1,1,130,unknown,cross_bridge,crossbridge2019
1,131,-13212.5,16270.0,10,8,1,1,131,unknown,cross_bridge,crossbridge2019
1,132,-9085.0,16270.0,10,9,1,1,132,unknown,cross_bridge,crossbridge2019
1,133,-4957.5,16270.0,10,10,1,1,133,unknown,cross_bridge,crossbridge2019
1,134,-830.0,16270.0,10,11,1,1,134,unknown,cross_bridge,crossbridge2019
1,135,3297.5,16270.0,10,12,1,1,135,unknown,cross_bridge,crossbridge2019
1,136,7425.0,16270.0,10,13,1,1,136,unknown,cross_bridge,crossbridge2019
1,137,11552.5,16270.0,10,14,1,1,137,unknown,cross_bridge,crossbridge2019
1,138,15680.0,16270.0,10,15,1,1,138,unknown,cross_bridge,crossbridge2019
1,139,19807.5,16270.0,10,16,1,1,139,unknown,cross_bridge,crossbridge2019
1,140,23935.0,16270.0,10,17,1,1,140,unknown,cross_bridge,crossbridge2019
1,141,28062.5,16270.0,10,18,1,1,141,unknown,cross_bridge,crossbridge2019
1,142,32190.0,16270.0,10,19,1,1,142,unknown,cross_bridge,crossbridge2019
1,143,36317.5,16270.0,10,20,1,1,143,unknown,cross_bridge,crossbridge2019
1,144,40445.0,16270.0,10,21,1,1,144,unknown,cross_bridge,crossbridge2019
1,145,-42105.0,13120.0,11,1,1,1,145,unknown,cross_bridge,crossbridge2019
1,146,-37977.5,13120.0,11,2,1,1,146,unknown,cross_bridge,crossbridge2019
1,147,-33850.0,13120.0,11,3,1,1,147,unknown,cross_bridge,crossbridge2019
1,148,-29722.5,13120.0,11,4,1,1,148,unknown,cross_bridge,crossbridge2019
1,149,-25595.0,13120.0,11,5,1,1,149,unknown,cross_bridge,crossbridge2019
1,150,-21467.5,13120.0,11,6,1,1,150,unknown,cross_bridge,crossbridge2019
1,151,-17340.0,13120.0,11,7,1,1,151,unknown,cross_bridge,crossbridge2019
1,152,-13212.5,13120.0,11,8,1,1,152,unknown,cross_bridge,crossbridge2019
1,153,-9085.0,13120.0,11,9,1,1,153,unknown,cross_bridge,crossbridge2019
1,154,-4957.5,13120.0,11,10,1,1,154,unknown,cross_bridge,crossbridge2019
1,155,-830.0,13120.0,11,11,1,1,155,unknown,cross_bridge,crossbridge2019
1,156,3297.5,13120.0,11,12,1,1,156,unknown,cross_bridge,crossbridge2019
1,157,7425.0,13120.0,11,13,1,1,157,unknown,cross_bridge,crossbridge2019
1,158,11552.5,13120.0,11,14,1,1,158,unknown,cross_bridge,crossbridge2019
1,159,15680.0,13120.0,11,15,1,1,159,unknown,cross_bridge,crossbridge2019
1,160,19807.5,13120.0,11,16,1,1,160,unknown,cross_bridge,crossbridge2019
1,161,23935.0,13120.0,11,17,1,1,161,unknown,cross_bridge,crossbridge2019
1,162,28062.5,13120.0,11,18,1,1,162,unknown,cross_bridge,crossbridge2019
1,163,32190.0,13120.0,11,19,1,1,163,unknown,cross_bridge,crossbridge2019
1,164,36317.5,13120.0,11,20,1,1,164,unknown,cross_bridge,crossbridge2019
1,165,40445.0,13120.0,11,21,1,1,165,unknown,cross_bridge,crossbridge2019
1,166,-42105.0,9970.0,12,1,1,1,166,unknown,cross_bridge,crossbridge2019
1,167,-37977.5,9970.0,12,2,1,1,167,unknown,cross_bridge,crossbridge2019
1,168,-33850.0,9970.0,12,3,1,1,168,unknown,cross_bridge,crossbridge2019
1,169,-29722.5,9970.0,12,4,1,1,169,unknown,cross_bridge,crossbridge2019
1,170,-25595.0,9970.0,12,5,1,1,170,unknown,cross_bridge,crossbridge2019
1,171,-21467.5,9970.0,12,6,1,1,171,unknown,cross_bridge,crossbridge2019
1,172,-17340.0,9970.0,12,7,1,1,172,unknown,cross_bridge,crossbridge2019
1,173,-13212.5,9970.0,12,8,1,1,173,unknown,cross_bridge,crossbridge2019
1,174,-9085.0,9970.0,12,9,1,1,174,unknown,cross_bridge,crossbridge2019
1,175,-4957.5,9970.0,12,10,1,1,175,unknown,cross_bridge,crossbridge2019
1,176,-830.0,9970.0,12,11,1,1,176,unknown,cross_bridge,crossbridge2019
1,177,3297.5,9970.0,12,12,1,1,177,unknown,cross_bridge,crossbridge2019
1,178,7425.0,9970.0,12,13,1,1,178,unknown,cross_bridge,crossbridge2019
1,179,11552.5,9970.0,12,14,1,1,179,unknown,cross_bridge,crossbridge2019
1,180,15680.0,9970.0,12,15,1,1,180,unknown,cross_bridge,crossbridge2019
1,181,19807.5,9970.0,12,16,1,1,181,unknown,cross_bridge,crossbridge2019
1,182,23935.0,9970.0,12,17,1,1,182,unknown,cross_bridge,crossbridge2019
1,183,28062.5,9970.0,12,18,1,1,183,unknown,cross_bridge,crossbridge2019
1,184,32190.0,9970.0,12,19,1,1,184,unknown,cross_bridge,crossbridge2019
1,185,36317.5,9970.0,12,20,1,1,185,unknown,cross_bridge,crossbridge2019
1,186,40445.0,9970.0,12,21,1,1,186,unknown,cross_bridge,crossbridge2019
1,187,-42105.0,6820.0,13,1,1,1,187,unknown,cross_bridge,crossbridge2019
1,188,-37977.5,6820.0,13,2,1,1,188,unknown,cross_bridge,crossbridge2019
1,189,-33850.0,6820.0,13,3,1,1,189,unknown,cross_bridge,crossbridge2019
1,190,-29722.5,6820.0,13,4,1,1,190,unknown,cross_bridge,crossbridge2019
1,191,-25595.0,6820.0,13,5,1,1,191,unknown,cross_bridge,crossbridge2019
1,192,-21467.5,6820.0,13,6,1,1,192,unknown,cross_bridge,crossbridge2019
1,193,-17340.0,6820.0,13,7,1,1,193,unknown,cross_bridge,crossbridge2019
1,194,-13212.5,6820.0,13,8,1,1,194,unknown,cross_bridge,crossbridge2019
1,195,-9085.0,6820.0,13,9,1,1,195,unknown,cross_bridge,crossbridge2019
1,196,-4957.5,6820.0,13,10,1,1,196,unknown,cross_bridge,crossbridge2019
1,197,-830.0,6820.0,13,11,1,1,197,unknown,cross_bridge,crossbridge2019
1,198,3297.5,6820.0,13,12,1,1,198,unknown,cross_bridge,crossbridge2019
1,199,7425.0,6820.0,13,13,1,1,199,unknown,cross_bridge,crossbridge2019
1,200,11552.5,6820.0,13,14,1,1,200,unknown,cross_bridge,crossbridge2019
1,201,15680.0,6820.0,13,15,1,1,201,unknown,cross_bridge,crossbridge2019
1,202,19807.5,6820.0,13,16,1,1,202,unknown,cross_bridge,crossbridge2019
1,203,23935.0,6820.0,13,17,1,1,203,unknown,cross_bridge,crossbridge2019
1,204,28062.5,6820.0,13,18,1,1,204,unknown,cross_bridge,crossbridge2019
1,205,32190.0,6820.0,13,19,1,1,205,unknown,cross_bridge,crossbridge2019
1,206,36317.5,6820.0,13,20,1,1,206,unknown,cross_bridge,crossbridge2019
1,207,40445.0,6820.0,13,21,1,1,207,unknown,cross_bridge,crossbridge2019
1,208,-42105.0,3670.0,14,1,1,1,208,unknown,cross_bridge,crossbridge2019
1,209,-37977.5,3670.0,14,2,1,1,209,unknown,cross_bridge,crossbridge2019
1,210,-33850.0,3670.0,14,3,1,1,210,unknown,cross_bridge,crossbridge2019
1,211,-29722.5,3670.0,14,4,1,1,211,unknown,cross_bridge,crossbridge2019
1,212,-25595.0,3670.0,14,5,1,1,212,unknown,cross_bridge,crossbridge2019
1,213,-21467.5,3670.0,14,6,1,1,213,unknown,cross_bridge,crossbridge2019
1,214,-17340.0,3670.0,14,7,1,1,214,unknown,cross_bridge,crossbridge2019
1,215,-13212.5,3670.0,14,8,1,1,215,unknown,cross_bridge,crossbridge2019
1,216,-9085.0,3670.0,14,9,1,1,216,unknown,cross_bridge,crossbridge2019
1,217,-4957.5,3670.0,14,10,1,1,217,unknown,cross_bridge,crossbridge2019
1,218,-830.0,3670.0,14,11,1,1,218,unknown,cross_bridge,crossbridge2019
1,219,3297.5,3670.0,14,12,1,1,219,unknown,cross_bridge,crossbridge2019
1,220,7425.0,3670.0,14,13,1,1,220,unknown,cross_bridge,crossbridge2019
1,221,11552.5,3670.0,14,14,1,1,221,unknown,cross_bridge,crossbridge2019
1,222,15680.0,3670.0,14,15,1,1,222,unknown,cross_bridge,crossbridge2019
1,223,19807.5,3670.0,14,16,1,1,223,unknown,cross_bridge,crossbridge2019
1,224,23935.0,3670.0,14,17,1,1,224,unknown,cross_bridge,crossbridge2019
1,225,28062.5,3670.0,14,18,1,1,225,unknown,cross_bridge,crossbridge2019
1,226,32190.0,3670.0,14,19,1,1,226,unknown,cross_bridge,crossbridge2019
1,227,36317.5,3670.0,14,20,1,1,227,unknown,cross_bridge,crossbridge2019
1,228,40445.0,3670.0,14,21,1,1,228,unknown,cross_bridge,crossbridge2019
1,229,-42105.0,520.0,15,1,1,1,229,unknown,cross_bridge,crossbridge2019
1,230,-37977.5,520.0,15,2,1,1,230,unknown,cross_bridge,crossbridge2019
1,231,-33850.0,520.0,15,3,1,1,231,unknown,cross_bridge,crossbridge2019
1,232,-29722.5,520.0,15,4,1,1,232,unknown,cross_bridge,crossbridge2019
1,233,-25595.0,520.0,15,5,1,1,233,unknown,cross_bridge,crossbridge2019
1,234,-21467.5,520.0,15,6,1,1,234,unknown,cross_bridge,crossbridge2019
1,235,-17340.0,520.0,15,7,1,1,235,unknown,cross_bridge,crossbridge2019
1,236,-13212.5,520.0,15,8,1,1,236,unknown,cross_bridge,crossbridge2019
1,237,-9085.0,520.0,15,9,1,1,237,unknown,cross_bridge,crossbridge2019
1,238,-4957.5,520.0,15,10,1,1,238,unknown,cross_bridge,crossbridge2019
1,239,-830.0,520.0,15,11,1,1,239,unknown,cross_bridge,crossbridge2019
1,240,3297.5,520.0,15,12,1,1,240,unknown,cross_bridge,crossbridge2019
