wafer_idx,die,block,block_idx_in_die,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column,event_counter,__pin_variation_object,__curr_variation_object
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,5e-05,5.60191672308323e-07,4.998e-05,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0001,1.133248638928183e-06,9.999999999999999e-05,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0005,5.401585711660614e-06,0.0004997000000000001,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.001,1.1346822002943277e-05,0.00099964,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,1e-05,2.3451593630755199e-07,9.94e-06,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,5e-05,4.591072170033405e-07,4.998e-05,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0001,1.0115797127247365e-06,9.999e-05,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0005,5.684254606677081e-06,0.00049973,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.001,1.0944322080910721e-05,0.0009996599999999999,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,1e-05,-1.8489265824874474e-07,9.950000000000001e-06,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,5e-05,8.15659659351816e-07,4.9999999999999996e-05,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0001,8.366117100877552e-07,9.999999999999999e-05,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0005,5.641247765692781e-06,0.0004997199999999999,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.001,1.109613255378693e-05,0.00099967,False,19,12,4,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,1e-05,2.3414835647007839e-07,9.97e-06,False,19,12,5,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,5e-05,6.939907331483661e-07,5.002e-05,False,19,12,5,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0001,8.590340801735872e-07,9.999999999999999e-05,False,19,12,5,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0005,5.638307126993e-06,0.0004997199999999999,False,19,12,5,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.001,1.1159356285832225e-05,0.00099963,False,19,12,5,structure,material
