die,block,pin_variation,curr_variation,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column,structure,material
3,2,,,GC,GC20_L_R0,P,0.0005,5.048430047464327e-06,0.00050003,False,1,2,GC20_SC300,Ag
3,2,,,GC,GC20_L_R0,P,0.001,9.902689708487716e-06,0.00100003,False,1,2,GC20_SC300,Ag
3,2,,,GC,GC20_L_R90,P,0.0005,4.41443431597915e-06,0.00050004,False,1,2,GC20_SC300,Ag
3,2,,,GC,GC20_L_R90,P,0.001,8.849462460823247e-06,0.00100007,False,1,2,GC20_SC300,Ag
3,2,,,GC,GC20_L_R0,N,0.0005,4.823368917725968e-06,0.00050002,False,1,2,GC20_SC300,Ag
3,2,,,GC,GC20_L_R0,N,0.001,9.923283537352664e-06,0.00100004,False,1,2,GC20_SC300,Ag
3,2,,,GC,GC20_L_R90,N,0.0005,4.520345435856024e-06,0.00050001,False,1,2,GC20_SC300,Ag
3,2,,,GC,GC20_L_R90,N,0.001,8.802390851989081e-06,0.00100004,False,1,2,GC20_SC300,Ag
3,2,,,LW300,LW300,P,0.001,0.0007108872045157866,0.0010000299999999998,False,1,2,LW300,Ag_Cl
3,2,,,LW300,LW300,N,0.001,0.0007109107403202037,0.00100001,False,1,2,LW300,Ag_Cl
3,2,,,LW600,LW600,N,0.001,0.004336845594742683,0.0010001,False,1,2,LW600,Ag_Cl
3,2,,,LW600,LW600,P,0.001,0.0046231248227576495,0.00100008,False,1,2,LW600,Ag_Cl
3,2,,,SC,SC,P,0.001,0.0032445312598925434,0.00100005,False,1,2,GC20_SC300,Ag_Cl
3,2,,,SC,SC,N,0.001,0.003241324506540716,0.00100002,False,1,2,GC20_SC300,Ag_Cl
3,2,,,GC,GC20_L_R0,P,0.0005,-0.00016159242016436438,0.00049997,False,1,2,GC20_SC300,Ag_Cl
3,2,,,GC,GC20_L_R90,P,0.0005,-0.00020978492168389416,0.00049998,False,1,2,GC20_SC300,Ag_Cl
3,2,,,GC,GC20_L_R0,N,0.0005,-0.00011467085208335709,0.0005000499999999999,False,1,2,GC20_SC300,Ag_Cl
3,2,,,GC,GC20_L_R90,N,0.0005,-0.00014388908227938967,0.00050001,False,1,2,GC20_SC300,Ag_Cl
3,2,,,LW300,LW300,P,0.001,0.0025139298772018973,0.00100007,False,1,2,LW300,Pt_Ag
3,2,,,LW300,LW300,N,0.001,0.0025140578531384155,0.00100004,False,1,2,LW300,Pt_Ag
3,2,,,LW600,LW600,N,0.001,0.012315459756329437,0.00100007,False,1,2,LW600,Pt_Ag
3,2,,,LW600,LW600,P,0.001,0.012315671578569191,0.00100006,False,1,2,LW600,Pt_Ag
3,2,,,SC,SC,P,0.001,0.004242883308570807,0.0010000299999999998,False,1,2,GC20_SC300,Pt_Ag
3,2,,,SC,SC,N,0.001,0.004243236345637063,0.0010000299999999998,False,1,2,GC20_SC300,Pt_Ag
3,2,,,GC,GC20_L_R0,P,0.0005,6.8915777308771455e-06,0.00050001,False,1,2,GC20_SC300,Pt_Ag
3,2,,,GC,GC20_L_R0,P,0.001,1.3296258507875887e-05,0.00100002,False,1,2,GC20_SC300,Pt_Ag
3,2,,,GC,GC20_L_R90,P,0.0005,7.41230740360511e-06,0.0004999900000000001,False,1,2,GC20_SC300,Pt_Ag
3,2,,,GC,GC20_L_R90,P,0.001,1.5048204949172509e-05,0.00100007,False,1,2,GC20_SC300,Pt_Ag
3,2,,,GC,GC20_L_R0,N,0.0005,6.6621036378105865e-06,0.00050002,False,1,2,GC20_SC300,Pt_Ag
3,2,,,GC,GC20_L_R0,N,0.001,1.3533087539822783e-05,0.0010000500000000002,False,1,2,GC20_SC300,Pt_Ag
3,2,,,GC,GC20_L_R90,N,0.0005,7.732982738787865e-06,0.00050002,False,1,2,GC20_SC300,Pt_Ag
3,2,,,GC,GC20_L_R90,N,0.001,1.5012901242546884e-05,0.0010000299999999998,False,1,2,GC20_SC300,Pt_Ag
3,2,,,LW300,LW300,P,0.001,0.004038199772494316,0.00100007,False,1,2,LW300,Pt_Ag_Cl
3,2,,,LW300,LW300,N,0.001,0.004038215953359852,0.00100004,False,1,2,LW300,Pt_Ag_Cl
3,2,,,LW600,LW600,N,0.001,0.016297613423567798,0.00100004,False,1,2,LW600,Pt_Ag_Cl
3,2,,,LW600,LW600,P,0.001,0.016299541888542223,0.00100001,False,1,2,LW600,Pt_Ag_Cl
3,2,,,SC,SC,P,0.001,0.005102831588386637,0.00100002,False,1,2,GC20_SC300,Pt_Ag_Cl
3,2,,,SC,SC,N,0.001,0.0051046791490333785,0.00100005,False,1,2,GC20_SC300,Pt_Ag_Cl
3,2,,,GC,GC20_L_R0,P,0.0005,1.1992963338279908e-05,0.00050001,False,1,2,GC20_SC300,Pt_Ag_Cl
3,2,,,GC,GC20_L_R90,P,0.0005,5.623586267906794e-06,0.00050003,False,1,2,GC20_SC300,Pt_Ag_Cl
3,2,,,GC,GC20_L_R0,N,0.0005,1.1776728135197956e-05,0.0004999900000000001,False,1,2,GC20_SC300,Pt_Ag_Cl
3,2,,,GC,GC20_L_R90,N,0.0005,6.0589986496228305e-06,0.00050001,False,1,2,GC20_SC300,Pt_Ag_Cl
3,3,,,LW300,LW300,P,0.001,0.06940607665737591,0.00100002,False,1,3,LW300,Pt
3,3,,,LW300,LW300,N,0.001,0.06940588837094058,0.00100005,False,1,3,LW300,Pt
3,3,,,LW600,LW600,N,0.001,0.13888565563194638,0.00100002,False,1,3,LW600,Pt
3,3,,,LW600,LW600,P,0.001,0.13888558796650868,0.0010000299999999998,False,1,3,LW600,Pt
3,3,,,SC,SC,P,0.001,0.06885204529238556,0.00100004,False,1,3,GC20_SC300,Pt
3,3,,,SC,SC,N,0.001,0.06885179375347585,0.00100004,False,1,3,GC20_SC300,Pt
3,3,,,GC,GC20_L_R0,P,5e-05,5.134335733586679e-05,5e-05,False,1,3,GC20_SC300,Pt
3,3,,,GC,GC20_L_R90,P,5e-05,5.104768879287719e-05,5.0010000000000004e-05,False,1,3,GC20_SC300,Pt
3,3,,,GC,GC20_L_R0,N,5e-05,5.101532706180369e-05,5.0010000000000004e-05,False,1,3,GC20_SC300,Pt
3,3,,,GC,GC20_L_R90,N,5e-05,5.146692030905647e-05,5.002e-05,False,1,3,GC20_SC300,Pt
3,3,,,LW300,LW300,P,0.001,0.06940820076372456,0.00100001,False,1,3,LW300,Pt_Cl
3,3,,,LW300,LW300,N,0.001,0.06940861705326518,0.0010000299999999998,False,1,3,LW300,Pt_Cl
3,3,,,LW600,LW600,N,0.001,0.13882556283931846,0.00100004,False,1,3,LW600,Pt_Cl
3,3,,,LW600,LW600,P,0.001,0.13882553930351405,0.00100003,False,1,3,LW600,Pt_Cl
3,3,,,SC,SC,P,0.001,0.0689606806816237,0.00100003,False,1,3,GC20_SC300,Pt_Cl
3,3,,,SC,SC,N,0.001,0.06896063949396597,0.001,False,1,3,GC20_SC300,Pt_Cl
3,3,,,GC,GC20_L_R0,P,5e-05,5.1419848700222307e-05,5.002e-05,False,1,3,GC20_SC300,Pt_Cl
3,3,,,GC,GC20_L_R90,P,5e-05,5.1260982020407e-05,5e-05,False,1,3,GC20_SC300,Pt_Cl
3,3,,,GC,GC20_L_R0,N,5e-05,5.155959253894874e-05,5.002e-05,False,1,3,GC20_SC300,Pt_Cl
3,3,,,GC,GC20_L_R90,N,5e-05,5.123009127710958e-05,5.004e-05,False,1,3,GC20_SC300,Pt_Cl
3,3,,,LW300,LW300,P,0.001,0.0030477469281735355,0.00100001,False,1,3,LW300,Ag
3,3,,,LW300,LW300,N,0.001,0.0032575009591141323,0.00100006,False,1,3,LW300,Ag
3,3,,,LW600,LW600,N,0.001,0.000992145951251034,0.00100004,False,1,3,LW600,Ag
3,3,,,LW600,LW600,P,0.001,0.000992404845099622,0.00100005,False,1,3,LW600,Ag
3,3,,,SC,SC,P,0.001,0.0009749692269898915,0.00100002,False,1,3,GC20_SC300,Ag
3,3,,,SC,SC,N,0.001,0.0009751236807063787,0.00100005,False,1,3,GC20_SC300,Ag
3,3,,,GC,GC20_L_R0,P,0.0005,3.964312056502435e-06,0.00050001,False,1,3,GC20_SC300,Ag
3,3,,,GC,GC20_L_R0,P,0.001,7.3696487580991475e-06,0.00100005,False,1,3,GC20_SC300,Ag
3,3,,,GC,GC20_L_R90,P,0.0005,3.709831171242725e-06,0.00050006,False,1,3,GC20_SC300,Ag
3,3,,,GC,GC20_L_R90,P,0.001,7.822712993127997e-06,0.00100005,False,1,3,GC20_SC300,Ag
3,3,,,GC,GC20_L_R0,N,0.0005,3.733366975659807e-06,0.00050001,False,1,3,GC20_SC300,Ag
3,3,,,GC,GC20_L_R0,N,0.001,7.391713574740162e-06,0.00100004,False,1,3,GC20_SC300,Ag
3,3,,,GC,GC20_L_R90,N,0.0005,3.5745002958444962e-06,0.00050001,False,1,3,GC20_SC300,Ag
3,3,,,GC,GC20_L_R90,N,0.001,7.853603736425417e-06,0.00100007,False,1,3,GC20_SC300,Ag
3,3,,,LW300,LW300,P,0.001,0.0007457246080163978,0.00100001,False,1,3,LW300,Ag_Cl
3,3,,,LW300,LW300,N,0.001,0.0007454377654000646,0.0010000299999999998,False,1,3,LW300,Ag_Cl
3,3,,,LW600,LW600,N,0.001,0.030526367857387396,0.00100005,False,1,3,LW600,Ag_Cl
3,3,,,LW600,LW600,P,0.001,0.030530886731835474,0.00100001,False,1,3,LW600,Ag_Cl
3,3,,,SC,SC,P,0.001,0.001362487717704941,0.00100004,False,1,3,GC20_SC300,Ag_Cl
3,3,,,SC,SC,N,0.001,0.0013619919948244061,0.00100001,False,1,3,GC20_SC300,Ag_Cl
3,3,,,GC,GC20_L_R0,P,0.0005,5.651535035652078e-06,0.0004999900000000001,False,1,3,GC20_SC300,Ag_Cl
3,3,,,GC,GC20_L_R90,P,0.0005,4.621843592404695e-06,0.00050003,False,1,3,GC20_SC300,Ag_Cl
3,3,,,GC,GC20_L_R0,N,0.0005,5.3926411870641656e-06,0.00050001,False,1,3,GC20_SC300,Ag_Cl
3,3,,,GC,GC20_L_R90,N,0.0005,4.723341748953364e-06,0.00050002,False,1,3,GC20_SC300,Ag_Cl
3,3,,,LW300,LW300,P,0.001,0.004476910108804296,0.00100004,False,1,3,LW300,Pt_Ag
3,3,,,LW300,LW300,N,0.001,0.004477239610066136,0.00100005,False,1,3,LW300,Pt_Ag
3,3,,,LW600,LW600,N,0.001,0.0009984667857247968,0.00100005,False,1,3,LW600,Pt_Ag
3,3,,,LW600,LW600,P,0.001,0.0009988463005710223,0.00100004,False,1,3,LW600,Pt_Ag
3,3,,,SC,SC,P,0.001,0.0042097772576826275,0.0010000500000000002,False,1,3,GC20_SC300,Pt_Ag
3,3,,,SC,SC,N,0.001,0.004210652495409388,0.00100002,False,1,3,GC20_SC300,Pt_Ag
3,3,,,GC,GC20_L_R0,P,0.0005,7.121051823943706e-06,0.00050002,False,1,3,GC20_SC300,Pt_Ag
3,3,,,GC,GC20_L_R0,P,0.001,1.421856784347033e-05,0.00100005,False,1,3,GC20_SC300,Pt_Ag
3,3,,,GC,GC20_L_R90,P,0.0005,8.714131585425019e-06,0.00050002,False,1,3,GC20_SC300,Pt_Ag
3,3,,,GC,GC20_L_R90,P,0.001,1.7938695929145525e-05,0.00100004,False,1,3,GC20_SC300,Pt_Ag
3,3,,,GC,GC20_L_R0,N,0.0005,7.149000591688993e-06,0.00050002,False,1,3,GC20_SC300,Pt_Ag
3,3,,,GC,GC20_L_R0,N,0.001,1.4403912303254858e-05,0.00100004,False,1,3,GC20_SC300,Pt_Ag
3,3,,,GC,GC20_L_R90,N,0.0005,8.930366788506972e-06,0.0005,False,1,3,GC20_SC300,Pt_Ag
3,3,,,GC,GC20_L_R90,N,0.001,1.804607803679847e-05,0.0010000299999999998,False,1,3,GC20_SC300,Pt_Ag
3,3,,,LW300,LW300,P,0.001,0.003577295172619025,0.00100002,False,1,3,LW300,Pt_Ag_Cl
3,3,,,LW300,LW300,N,0.001,0.0035761639830192288,0.00100005,False,1,3,LW300,Pt_Ag_Cl
3,3,,,LW600,LW600,N,0.001,0.009851799415386879,0.00100004,False,1,3,LW600,Pt_Ag_Cl
3,3,,,LW600,LW600,P,0.001,0.009850147496114355,0.0010000299999999998,False,1,3,LW600,Pt_Ag_Cl
3,3,,,SC,SC,P,0.001,0.005496823896304161,0.00100004,False,1,3,GC20_SC300,Pt_Ag_Cl
3,3,,,SC,SC,N,0.001,0.005497685895140936,0.00100005,False,1,3,GC20_SC300,Pt_Ag_Cl
3,3,,,GC,GC20_L_R0,P,0.0005,3.36988589619348e-05,0.00050002,False,1,3,GC20_SC300,Pt_Ag_Cl
3,3,,,GC,GC20_L_R90,P,0.0005,1.432742093889934e-05,0.00050003,False,1,3,GC20_SC300,Pt_Ag_Cl
3,3,,,GC,GC20_L_R0,N,0.0005,3.355028919655196e-05,0.0004999900000000001,False,1,3,GC20_SC300,Pt_Ag_Cl
3,3,,,GC,GC20_L_R90,N,0.0005,1.4461280826521497e-05,0.0005,False,1,3,GC20_SC300,Pt_Ag_Cl
3,4,,,LW300,LW300,P,0.001,0.06923574215685838,0.00100002,False,1,4,LW300,Pt
3,4,,,LW300,LW300,N,0.001,0.0692353597000366,0.00100005,False,1,4,LW300,Pt
3,4,,,LW600,LW600,N,0.001,0.13899621507319562,0.00100007,False,1,4,LW600,Pt
3,4,,,LW600,LW600,P,0.001,0.1389966960861984,0.00100002,False,1,4,LW600,Pt
3,4,,,SC,SC,P,0.001,0.06902158545950401,0.00100004,False,1,4,GC20_SC300,Pt
3,4,,,SC,SC,N,0.001,0.0690215928144429,0.00100006,False,1,4,GC20_SC300,Pt
3,4,,,GC,GC20_L_R0,P,5e-05,5.127127893483947e-05,5e-05,False,1,4,GC20_SC300,Pt
3,4,,,GC,GC20_L_R90,P,5e-05,5.1281575849271945e-05,5e-05,False,1,4,GC20_SC300,Pt
3,4,,,GC,GC20_L_R0,N,5e-05,5.123597522821385e-05,5.0010000000000004e-05,False,1,4,GC20_SC300,Pt
3,4,,,GC,GC20_L_R90,N,5e-05,5.13610091891796e-05,4.999e-05,False,1,4,GC20_SC300,Pt
3,4,,,LW300,LW300,P,0.001,0.06947080159051067,0.00100005,False,1,4,LW300,Pt_Cl
3,4,,,LW300,LW300,N,0.001,0.06947039118492115,0.00100004,False,1,4,LW300,Pt_Cl
3,4,,,LW600,LW600,N,0.001,0.1391036089487508,0.00100004,False,1,4,LW600,Pt_Cl
3,4,,,LW600,LW600,P,0.001,0.13910351921849642,0.0010000500000000002,False,1,4,LW600,Pt_Cl
3,4,,,SC,SC,P,0.001,0.06910811631543119,0.0010000299999999998,False,1,4,GC20_SC300,Pt_Cl
3,4,,,SC,SC,N,0.001,0.06910861939325061,0.0010000299999999998,False,1,4,GC20_SC300,Pt_Cl
